district,total_primary_votes,fraction_primary_votes_to_gop,gop_primary_votes,gop_candidates,dem_primary_votes,dem_candidates,daves_score_r_plus,Native
HD-3,2580,0.4682170542635659,1208,CATHY MITCHELL,1372,"DEBO POWERS, GUTHRIE QUIST",-8.0,0.0267
HD-81,2896,0.46167127071823205,1337,DUSTIN SCOTT,1559,MARY M CAFERRO,-12.0,0.0444
HD-58,2792,0.45988538681948427,1284,JASON GUNDERSON,1508,"JAMIE L ISALY, DEAN WILLIAMSON",-8.0,0.0317
HD-89,2740,0.4569343065693431,1252,LYN HELLEGAARD,1488,MARK A THANE,-6.0,0.04
SD-40,5880,0.4474489795918367,2631,GREG L GUTHRIE,3249,LAURA SMITH,-11.0,0.0403
SD-33,5031,0.43689127410057643,2198,NEAL GANSER,2833,CHRISTOPHER POPE,-16.0,0.0236
HD-63,1831,0.4358274167121791,798,"JOE FLYNN, MARK LEWIS",1033,"PETER STRAND, JOHN HANSEN",-14.0,0.0245
HD-66,2770,0.42707581227436825,1183,MARLA DAVIS,1587,ERIC MATTHEWS,-15.0,0.0238
HD-65,2433,0.42334566378956023,1030,ESTHER FISHBAUGH,1403,"ANJA WOOKEYHUFFMAN, BRIAN CLOSE",-18.0,0.0234
HD-64,1820,0.42142857142857143,767,JOLENE  CRUM,1053,KELLY KORTUM,-17.0,0.0215
HD-79,3692,0.4206392199349946,1553,"JILL SARK, DEMETRI JOSLIN",2139,"ANNE WOODLAND, EMILY HARRIS, LUKE MUSZKIEWICZ",-13.0,0.0388
HD-83,3005,0.4176372712146423,1255,"CHRISTOPHER ST JEAN, WES FEIST",1750,JILL COHENOUR,-14.0,0.0454
SD-30,5059,0.40521842261316465,2050,TYLER ROGERS,3009,CORA NEUMANN,-16.0,0.0182
SD-46,5473,0.4014251781472684,2197,CHARLES HEADLEY,3276,"C B PEARSON, JACINDA MORIGEAU",-19.0,0.1438
HD-99,2553,0.3983548766157462,1017,RYAN DARLING,1536,TOM FRANCE,-17.0,0.041
HD-96,2447,0.3890478136493666,952,ROBERT LABAIR,1495,BOB CARTER,-22.0,0.0536
HD-82,2799,0.38763844230082173,1085,JOHN LOONEY SR,1714,"SK ROSSI, PETE ELVERUM",-12.0,0.0601
SD-47,5722,0.3871024117441454,2215,"ABIGAIL MAKI, ERICA SIATE",3507,ELLIE HILL BOLDMAN,-24.0,0.0373
HD-98,2229,0.3826828174069089,853,JACE BEARD,1376,JONATHAN KARLEN,-17.0,0.0611
HD-71,3019,0.37694600861212324,1138,H STEIGER,1881,SCOTT P DEMAROIS,-19.0,0.0458
HD-94,2966,0.37086985839514497,1100,DELANEY MALMSTEN,1866,MARILYN MARLER,-21.0,0.0302
HD-92,2829,0.36231884057971014,1025,TED MORGAN,1804,CONNIE KEOGH,-25.0,0.0467
HD-59,3073,0.3566547347868532,1096,MARC GREENDORFER,1977,ED STAFMAN,-25.0,0.0177
HD-74,3473,0.3564641520299453,1238,TRENIN BAYLESS,2235,MARC J LEE,-24.0,0.0228
SD-37,5673,0.355367530407192,2016,JIM KEPHART,3657,DEREK J HARVEY,-26.0,0.0362
HD-93,2659,0.3501316284317413,931,ROY HANDLEY,1728,KATIE SULLIVAN,-28.0,0.0442
HD-73,2297,0.3434915106660862,789,ZACH TOMASZEWSKI,1508,JENNIFER LYNCH,-29.0,0.0494
HD-97,2477,0.3415421881308034,846,NICK KNOWLES,1626,"MELODY CUNNINGHAM, LISA VERLANIC FOWLER",-24.0,0.0558
SD-36,5744,0.3389623955431755,1947,DARLEAN NEWMAN,3797,"JESSICA WICKS, SARA NOVAK",-23.0,0.0443
HD-72,2561,0.3229207340882468,827,ANDY JOHNSON,1734,DONAVON HAWK,-28.0,0.0427
HD-100,2060,0.17135922330097086,353,CHRISTOPHER PAUL BUCKLES,1707,"SJ HOWELL, TIM GARRISON",-56.0,0.0552
HD-61,835,0.16167664670658682,135,THOMAS CARLSON,700,BECKY EDWARDS,-39.0,0.0365
HD-95,2521,0.12376041253470844,312,BARBARA W STARMER,2209,ZOOEY ZEPHYR,-67.0,0.0402
